Church,Cath. Dir.,street address,City,state/zipcode,Diocese,URL,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,PDF,Bulletin
St. Scholastica Catholic Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54400,309 Brilliant Avenue,Aspinwall,PA 15215 US,Diocese of Pittsburgh,http://www.saintscholastica.com/,,,,,,,,,Y,N
Holy Family Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=19394,410 W Center St,Nazareth,PA 18064 US,Diocese of Allentown,http://www.holyfamilyparish.myownparish.com,,,,,,,,,N,N
Our Lady of Perpetual Help,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189710,1526 Union Ave,Natrona Heights,PA 15065 US,Diocese of Pittsburgh,http://www.olmbs.org/,,,,,,,,,Y,1
Our Lady of The Most Blessed Sacrament,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54293,1526 Union Ave,Natrona Heights,PA 15065 US,Diocese of Pittsburgh,http://www.olmbs.org/,,,,,,,,,Y,1
St. Agnes Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54859,22 St Agnes Drive,Morrisdale,PA 16858 US,Diocese of Erie,https://www.parishesonline.com/find/st-agnes-church-16858,,,,,,,,,N,N
Our Lady of The Snows Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55175,301 S State St,Clarks Summit,PA 18411 US,Diocese of Scranton,http://www.olsparish.net/,,,,,,,,,N,N
St. Benedict Mission,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189648,301 S. State Street,Clarks Summit,PA 18411-1599 US,None,https://www.mapquest.com/us/pennsylvania/st-benedict-mission-369154158,,,,,,,,,N,N
St. Gregory Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55174,330 N Abington Rd,Clarks Summit,PA 18411 US,Diocese of Scranton,http://www.thechurchofstgregory.com/,,,,,,,,,N,2
Transfiguration Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55173,1105 Gravel Pond Road,Clarks Summit,PA 18411 US,St. Mary Byzantine Catholic Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55173,,,,,,,,,N,N
Holy Protection of Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54593,279 Yellow Creek Street,Homer City,PA 15748 US,Diocese of Pittsburgh,https://holyprotection.net/,,,,,,,,,N,N
St. Bernard Mission-Closed,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189105,P.O. Box 153,Beach Lake,PA 18405 US,None,https://www.macombdaily.com/news/nation-world-news/lake-st-clair-metropark-and-memorial-park-beaches-closed-for/article_f59b6816-9d1a-564d-a2e5-bcf7f9314be7.html,,,,,,,,,N,N
Holy Trinity Ukrainian Catholic Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=17838,730 Washington Ave,Carnegie,PA 15106 US,Archeparchy of Philadelphia,http://www.htucc.org/,,,,,,,,,N,N
Our Lady of Victory Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54320,1000 Lindsay Road,Carnegie,PA 15106 US,Eparchy of Saint Maron,http://www.olov.info,,,,,,,,,N,N
St. Elizabeth Ann Seton Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54319,330 Third Avenue,Carnegie,PA 15106 US,Diocese of Pittsburgh,http://seascarnegie.org/,,,,,,,,,N,9
St. Ignatius,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189641,125 Finley Ave,Carnegie,PA 15106 US,Diocese of Pittsburgh,http://www.seas.4lpi.com/,,,,,,,,,N,N
Resurrection Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54424,1100 Creedmoor Ave,Brookline,PA 15226 US,Diocese of Pittsburgh,http://www.eressi.com/,,,,,,,,,N,N
St. Mary Roman Catholic Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55668,94 Walnut Road,Hamburg,PA 19526 US,Diocese of Allentown,http://www.rc.net/allentown/stmaryhamb,,,,,,,,,N,N
St. Joseph's Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55160,309 Avenue F,Matamoras,PA 18336 US,Diocese of Scranton,http://www.stjosephsmatamoras.com,,,,,,,,,N,1
Flower Of Carmel Hermitage,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=71599,Flower of Carmel Hermitage,Enola,PA 17025 US,None,http://flowerofcarmelhermitage.com/,,,,,,,,,N,N
Our Lady of Lourdes Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54878,225 Salt Rd.,Enola,PA 17025 US,Diocese of Harrisburg,http://www.ourladyoflourdesenola.org,,,,,,,,,N,5
Our Lady of Lourdes Council 12404,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=73292,225 Salt Road,Enola,PA 17025 US,Diocese of Harrisburg,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=73292,,,,,,,,,N,N
