Church,Cath. Dir.,street address,City,state/zipcode,Diocese,URL,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,PDF,Bulletin
St. Ann Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54470,232 E High St,Waynesburg,PA 15370 US,Diocese of Pittsburgh,http://www.theccofgc.com/,,,,,,,,,N,N
Holy Martyrs Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54305,344 W 9th Ave,Tarentum,PA 15084 US,Diocese of Pittsburgh,https://diopitt.org/holy-martyrs-tarentum,,,,,,,,,N,N
SS Peter and Paul Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54306,339 East 10th Ave,Tarentum,PA 15084 US,Archeparchy of Pittsburgh,http://www.archpitt.org/place/tarentumpa-2/,,,,,,,,,N,N
Church of the Resurrection,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189682,265 First Ave.,Heilwood,PA 15475 US,None,http://www.churchresurrection.org,,,,,,,,,N,1
St. Joseph Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55606,Manor Ave,Downingtown,PA 19335 US,Archeparchy of Philadelphia,http://stjoesdtown.org,,,,,,,,,N,N
The Remedio Family,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55609,31 Lahawa Drive,Downingtown,PA 19335 US,Archdiocese of Philadelphia,http://www.saintpeterchurch.net,,,,,,,,,N,1
Holy Infant Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54929,535 Conewago Creek Rd,Manchester,PA 17345 US,Diocese of Harrisburg,http://www.holyinfantparish.com,,,,,,,,,N,N
St. Rose of Lima Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54715,3357 Constitution Blvd,Darlington,PA 16115 US,Diocese of Pittsburgh,https://diopitt.org/saint-rose-of-lima-darlington,,,,,,,,,N,N
Our Lady of Abingtons Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55177,700 W. Main Street,Dalton,PA 18414 US,Diocese of Scranton,https://spolachurch.weebly.com/,,,,,,,,,N,1
St. Jude Thaddeus Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54589,320 Main Street,Ernest,PA 15739 US,Archeparchy of Pittsburgh,http://www.archpitt.org/place/ernestpa/,,,,,,,,,N,N
St. Josephs Roman Catholic Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=74527,623 E. Third Street,Bellwood,PA 16617 US,Diocese of Altoona - Johnstown,http://www.stjosephbellwood.org,,,,,,,,,N,N
SS Peter and Paul Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54681,Phillips St,Jerome,PA 15937 US,Diocese of Pittsburgh,http://www.archeparchy.org/page/directories/parishes/jerome.htm,,,,,,,,,N,N
St. John Vianney Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189650,Route 106,Clifford,PA 18413 US,None,https://stjvp.org/,,,,,,,,,N,2
Our Lady of Lourdes Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54266,621 S Main St,Burgettstown,PA 15021 US,Diocese of Pittsburgh,https://www.parishesonline.com/find/our-lady-of-lourdes-church-15021,,,,,,,,,N,N
St. Cecilia Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54302,632 Virgina Ave,Rochester,PA 15074 US,Diocese of Pittsburgh,http://www.stceciliaroch.org,,,,,,,,,N,N
St. Edward Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=10220,120 St. Edwards Lane,Herminie,PA 15637-1717 US,Diocese of Greensburg,http://www.saint-edward.org,,,,,,,,,N,1
St. Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54534,7 Second Street,Herminie,PA 15637 US,Diocese of Pittsburgh,http://www.archpitt.org/place/herminiepa/,,,,,,,,,N,N
St. Eleanor Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55634,647 Locust ST,Collegeville,PA 19426 US,Archeparchy of Philadelphia,http://www.steleanor.com,,,,,,,,,N,N
Sacred Heart of Jesus Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54897,140 E Market St,Williamstown,PA 17098 US,Diocese of Harrisburg,https://www.hbgdiocese.org/parishes/sacred-heart-of-jesus-mission/,,,,,,,,,N,N
Holy Sepulcher,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54687,1304 E Cruikshank Rd,Butler,PA 16002 US,Diocese of Pittsburgh,http://www.holysepulcher.org,,,,,,,,,N,N
St. Andrew Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54686,1660 N Main St,Butler,PA 16001 US,Diocese of Pittsburgh,https://www.saintandrewbutler.org/,,,,,,,,,N,N
St. Fidelis of Sigmaringen,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54683,125 Buttercup Rd,Butler,PA 16001 US,Diocese of Pittsburgh,https://www.saintfidelis.org/,,,,,,,,,N,N
St. Michael The Archangel Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54684,432 Center Ave,Butler,PA 16001 US,Diocese of Pittsburgh,http://www.saintmichaelrcbutler.com,,,,,,,,,N,N
St. Paul Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54688,128 North McKean St,Butler,PA 16001 US,Diocese of Pittsburgh,http://butlercitycatholicparishes.org/,,,,,,,,,N,N
St. Peter Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54685,127 Franklin St,Butler,PA 16001 US,Diocese of Pittsburgh,http://www.stpeterbutler.org,,,,,,,,,N,N
St. Wendelin Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54689,210 Saint Wendelin Rd,Butler,PA 16001 US,Diocese of Pittsburgh,http://www.stwendelinbutler.org/,,,,,,,,,N,N
St. Margaret of Antioch,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55443,208 N. Narberth Ave,Narberth,PA 19072 US,Archeparchy of Philadelphia,http://www.saintmarg.org,,,,,,,,,N,1
Holy Trinity Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55653,219 Dayton St,Phoenixville,PA 19460 US,Archeparchy of Philadelphia,http://www.stmaryassumption.org/,,,,,,,,,N,2
Sacred Heart Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55651,148 Church St,Phoenixville,PA 19460 US,Archeparchy of Philadelphia,http://www.churchofsaintann.org/,,,,,,,,,N,N
St. Ann Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55650,3rd Ave and Main St,Phoenixville,PA 19460 US,Archdiocese of Philadelphia,http://www.churchofsaintann.org,,,,,,,,,N,N
St. Mary of The Assumption Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55652'," ""St Mary's and Dayton Streets""",Phoenixville,PA 19460 US,Archeparchy of Philadelphia,http://www.stmaryassumption.org,,,,,,,,,N,2
Holy Trinity Catholic Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=214719,201 North Pennsylvania Avenue,Morrisville,PA 19067 US,Archeparchy of Philadelphia,http://www.holytrinitymorrisville.org,,,,,,,,,N,N
Holy Trinity Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55440,201 N Pennsylvania Ave,Morrisville,PA 19067 US,Archdiocese of Philadelphia,https://holytrinitymorrisville.org/,,,,,,,,,N,N
St. John the Evangelist Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=214113,752 Big Oak Road,Morrisville,PA 19067 US,Archdiocese of Philadelphia,http://stjohnpa.org,,,,,,,,,N,2
St. John Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54698,668 Clearfield Rd.,Fenelton,PA 16034 US,Diocese of Pittsburgh,http://www.stjohntheevangelistparish.org,,,,,,,,,N,N
Holy Redeemer,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=15579,415 4th.Street,Ellwood City,PA 16117-2082 US,Diocese of Pittsburgh,http://www.holyredeemerparishpgh.com/,,,,,,,,,N,1
St. Elias,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189709,4200 Homestead-Duquesne Rd.,Munhall,PA 15120 US,None,http://www.archeparchy.org/page/directories/parishes/munhall-elias08.htm,,,,,,,,,N,N
St. Theresa of Lisieux Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54335,One St Theresa Ct,Munhall,PA 15120 US,Diocese of Pittsburgh,http://www.st-therese.net/,,,,,,,,,N,N
St. Thomas Aquinas Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55396,Bristol Pk and Walnut Ave,Croydon,PA 19021 US,Archdiocese of Philadelphia,http://www.staq.org,,,,,,,,,N,1
St. Joseph Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55150,462 W Ludlow St,Summit Hill,PA 18250 US,Diocese of Allentown,http://www.stjscatholicchurch.org,,,,,,,,,N,N
St. Matthew Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54565,501 Cathedral Street,Saltsburg,PA 15681 US,Diocese of Greensburg,http://www.partnerparishesmas.org/,,,,,,,,,N,1
SS Peter & Paul Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55139,260 N Third St,Lehighton,PA 18235 US,Diocese of Allentown,http://www.peterandpaulchurch.com,,,,,,,,,N,N
St. Ignatius of Antioch Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55438,999 Reading Ave,Yardley,PA 19067 US,Archdiocese of Philadelphia,http://www.stignatius.church,,,,,,,,,N,1
St. James Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=9846,505 Woodcrest Ave.,Lititz,PA 17543-8461 US,Diocese of Harrisburg,http://www.stjameslititz.org,,,,,,,,,N,N
St. John Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55156,5171 Milford Road,East Stroudsburg,PA 18302 US,Diocese of Scranton,http://www.churchofstjohn.com,,,,,,,,,N,N
St. Matthew Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55155,78 Ridgeway Street,East Stroudsburg,PA 18301 US,Diocese of Scranton,https://www.stmatthewspa.org/,,,,,,,,,N,1
Sacred Heart Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54652,738 Sunshine Ave,Central City,PA 15926 US,Diocese of Altoona - Johnstown,http://www.ladyqueenofangels.com,,,,,,,,,N,N
St. Dominic Mission,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189769,Rt. 949 at Catholic Church Road,Sigel,PA 15860 US,Immaculate Conception Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189769,,,,,,,,,N,N
St. Germaine Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=6107,7003 Baptist Rd.,Bethel Park,PA 15102-3905 US,Diocese of Pittsburgh,http://www.stgermaineparish.org/,,,,,,,,,N,4
St. Valentine Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54313,2710 Ohio St,Bethel Park,PA 15102 US,Diocese of Pittsburgh,http://www.stvals.org,,,,,,,,,N,N
Our Lady of Good Counsel Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55360,611 Knowles Ave.,Southampton,PA 18966 US,Archdiocese of Philadelphia,http://www.olgc.org,,,,,,,,,N,1
Most Holy Trinity,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55158,212 Route 390 Msgr McHugh Auditorium,,Cresco,PA 18326 US,Diocese of Scranton,,,,,,,,,N,N
Holy Ghost Byzantine Catholic Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55186,313 First Street,Jessup,PA 18434 US,Byzantine Catholic Eparchy of Passaic,http://holyghostjessup.weebly.com,,,,,,,,,N,N
Queen of Angels Parish St. James-Closed,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=213561,605 Church Street,Jessup,PA 18434-1005 US,Diocese of Scranton,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=213561,,,,,,,,,N,N
Queen of Angels Parish at Saint Michael Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55188,322 First Avenue,Jessup,PA 18434 US,Diocese of Scranton,https://www.parishesonline.com/find/queen-of-angels-parish-at-st-michael-church,,,,,,,,,N,N
Queen Of Angels Parish at St. Mary's Assumption Church-CLOSED,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55187,516 Third Ave,Jessup,PA 18434 US,Diocese of Scranton,https://catholicchurch.directory/mass-times/pa_jessup_queen-of-angels-parish-at-st-mary-s-assumption-church-closed,,,,,,,,,N,N
Nativity of Our Lord Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55362,625 W Street Rd,Warminster,PA 18974 US,Archeparchy of Philadelphia,https://www.noolp.org/,,,,,,,,,N,N
St. Benedict Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54584,200 Main Street,Carrolltown,PA 15722 US,Diocese of Altoona - Johnstown,http://www.saintbenedictschurch.com,,,,,,,,,N,N
St. Monica Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54818,3037 Colonel Drake Hwy,Chest Springs,PA 16624 US,Diocese of Altoona - Johnstown,https://www.parishesonline.com/find/st-monica-church-16624,,,,,,,,,N,N
St. Michael Basillica Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54659,St Mary St,Loretto,PA 15940 US,Diocese of Altoona - Johnstown,http://www.basilica-loretto.org/,,,,,,,,,N,N
Sacred Heart of Jesus Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55275,217 Lackawana Ave,Dupont,PA 18641 US,Diocese of Scranton,http://www.sacredheartdupont.com/,,,,,,,,,N,N
St. Bartholomew Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54731,311 W Ridge Ave,Sharpsville,PA 16150 US,Diocese of Erie,http://www.saintbartholomews.com/,,,,,,,,,N,N
St. Catherine of Siena Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55415,321 Witmer Rd,Horsham,PA 19044 US,Archdiocese of Philadelphia,http://stcatherineschurch.org,,,,,,,,,N,N
Blessed Virgin Mary Queen of Peace Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55181,314 Chestnut Ave,Hawley,PA 18428-1393 US,Diocese of Scranton,http://www.queenofpeacehawley.com/,,,,,,,,,N,1
St. Peter Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54705,670 S Main St,Slippery Rock,PA 16057 US,Diocese of Pittsburgh,http://rockstpeter.org,,,,,,,,,N,N
Protection of the Blessed Virgin Mary Ukrainian Catholic Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54669,560 Cambria Ave,Revloc,PA 15948 US,Eparchy of St. Josaphat of Parma,http://www.protectionofthebvm.org,,,,,,,,,N,1
St. Tobias Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54607,1135 Hewitt St,Brockway,PA 15824 US,Diocese of Erie,http://www.sttobias.com/,,,,,,,,,N,N
St. Callistus Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54846,342 Chase St,Kane,PA 16735 US,Diocese of Erie,http://www.stcallistuskane.org/,,,,,,,,,N,N
St. Phillip Neri Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55641,437 Ridge Pike,Lafayette Hill,PA 19444 US,Archeparchy of Philadelphia,https://www.saintphilipnerichurch.com/,,,,,,,,,N,N
St. Mary Magdalen,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=71734,Route 54,Lost Creek,PA 17946 US,Diocese of Allentown,https://discovermass.com/church/saint-mary-magdalen-lost-creek-pa/,,,,,,,,,N,N
St. Anastasia Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55444,3301 West Chester Pike,Newtown Square,PA 19073 US,Archdiocese of Philadelphia,http://saintanastasia.net/,,,,,,,,,N,N
St. Sharbel Maronite Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55445,3679 Providence Road,Newtown Square,PA 19073 US,Eparchy of Saint Maron,https://discovermass.com/church/st-sharbel-maronite-newtown-square-pa/,,,,,,,,,N,N
Knights of Columbus Mater Dei Council 4129 District 15,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=213542,PO Box 972,Edgemont,PA 19028 US,Archeparchy of Philadelphia,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=213542,,,,,,,,,N,N
Knights of Columbus Council 4057,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=72413,P.O. Box 551,Carlisle,PA 17013-0551 US,Diocese of Harrisburg,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=72413,,,,,,,,,N,N
St. Patrick Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54874,152 East Pomfret Street,Carlisle,PA 17013 US,Diocese of Harrisburg,http://www.saintpatrickchurch.org/,,,,,,,,,N,1
Our Lady Queen of The Americas Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54752,9th & Water Sts,Conneaut Lake,PA 16316 US,Diocese of Erie,http://www.olqachurch.org,,,,,,,,,N,N
Assumption of The Blessed Virgin Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55424,1900 Meadowbrook Rd.,Feasterville,PA 19053 US,Archeparchy of Philadelphia,http://www.abvmfeasterville.org,,,,,,,,,N,N
St. Kilian Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54703,7076 Franklin Road,Cranberry Twp,PA 16066 US,Diocese of Pittsburgh,http://www.saintkilian.org,,,,,,,,,N,2
St. Paul the Apostle Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=2585,125 S Spruce St.,Annville,PA 17003-1919 US,Diocese of Harrisburg,http://www.saintpaulsinannville.org,,,,,,,,,N,N
Queen of Peace Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54835,907 Sixth Ave,Patton,PA 16668 US,Diocese of Altoona - Johnstown,http://https://queenofpeacepatton.org,,,,,,,,,N,N
SS Peter and Paul Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54837,516 Palmer Ave,Patton,PA 16668 US,Archeparchy of Pittsburgh,http://www.ssppandjbyzcatholic.com,,,,,,,,,N,N
St. Anne Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54655,205 Woodstown Hwy,Davidsville,PA 15928 US,Diocese of Altoona - Johnstown,https://www.parishesonline.com/find/st-anne-church-15928,,,,,,,,,N,N
Epiphany of Our Lord,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189740,3050 Walton Rd,Plymouth Meeting,PA 19462 US,None,http://www.epiphanyofourlord.com/,,,,,,,,,N,1
Holy Rosary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55113,240 S. Poplar Street,Hazleton,PA 18201 US,Diocese of Scranton,http://www.holyrosaryhaz.com/,,,,,,,,,N,N
Most Precious Blood,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55108,131 E. 4th Street,Hazleton,PA 18201-4495 US,Diocese of Scranton,https://mpbhazleton.com/,,,,,,,,,N,1
Queen of Heaven Parish at Our Lady of Grace Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55115,750 N Vine St,Hazleton,PA 18201 US,Diocese of Scranton,http://www.parishesonline.com/scripts/hostedsites/org.asp?p=1&ID=25629,,,,,,,,,N,N
SS Cyril and Methodius Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55119,604 N Laurel St,Hazleton,PA 18201 US,Diocese of Scranton,http://sscmparish.com/,,,,,,,,,N,N
St. Gabriels Parish-Annunciation Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=71693,122 S. Wyoming Street,Hazleton,PA 18201 US,Diocese of Scranton,http://www.holyannunciation.com/,,,,,,,,,N,1
St. John The Baptist Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55118,5 East 20th Street,Hazleton,PA 18201 US,Byzantine Catholic Eparchy of Passaic,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55118,,,,,,,,,N,N
St. Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55117,74 N Laurel St,Hazleton,PA 18201 US,Archeparchy of Philadelphia,https://discovermass.com/church/st-mary-byzantine-hazleton-pa/,,,,,,,,,N,N
St. Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55120,227 East Beech Street,Hazleton,PA 18201 US,Byzantine Catholic Eparchy of Passaic,https://discovermass.com/church/st-mary-byzantine-hazleton-pa/,,,,,,,,,N,N
St. Stanislaus Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55116,652 Carson St,Hazleton,PA 18201 US,Diocese of Scranton,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55116,,,,,,,,,N,N
St. John The Baptist Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55356,4050 Durham Rd,Ottsville,PA 18942 US,Archdiocese of Philadelphia,http://stjohnsottsville.org/,,,,,,,,,N,1
Dormition of the Mother of God,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189645,104 Byzantine Lane,Clarence,PA 16829-0304 US,Archeparchy of Pittsburgh,http://byzcath.org/centralpa/aboutdormition.html,,,,,,,,,N,N
Queen of Archangels,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54853,102 Church St,Clarence,PA 16829 US,Diocese of Altoona - Johnstown,https://catholicmasstime.org/church/queen-of-archangels/6854/,,,,,,,,,N,N
St. Titus,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189664,3006 Keenwood Rd,East Norriton,PA 19403 US,Archdiocese of Philadelphia,http://sttitus.org/,,,,,,,,,N,3
St. Regis Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54307,517 Homewood Ave,Trafford,PA 15085 US,Diocese of Greensburg,http://www.stregistrafford.org,,,,,,,,,N,1
Annunciation Blessed Virgin Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54838,PO BOX 205,Ramey,PA 16671 US,Eparchy of St. Josaphat of Parma,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54838,,,,,,,,,N,N
Holy Trinity Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54839,52 Parish St.,Ramey,PA 16671 US,Diocese of Erie,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54839,,,,,,,,,N,N
St. Rita,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189109,13219 Monterey Ln.,Blue Ridge Summit,PA 17214 US,Diocese of Harrisburg,http://stritacc.org/,,,,,,,,,N,1
Queen of the World Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=17934,134 Queens Road,Saint Marys,PA 15857 US,Diocese of Erie,http://www.qwchurch.com,,,,,,,,,N,N
Sacred Heart Church,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54618,337 Center Street,Saint Marys,PA 15857 US,Diocese of Erie,http://www.sacredheartparish.us/,,,,,,,,,N,1
St. Mary Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54616,315 Church St,Saint Marys,PA 15857 US,Diocese of Erie,http://www.thesmchurch.com,,,,,,,,,N,N
Holy Child Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54870,237 S Main St,Mansfield,PA 16933 US,Diocese of Scranton,http://www.holychildparish.com/,,,,,,,,,N,2
St. Alphonsus Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54357,750 Pittsburgh St,Springdale,PA 15144 US,Diocese of Pittsburgh,http://www.stalphonsuschurch.com,,,,,,,,,N,N
Nativity of Our Lord Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55278,120 Stephenson St,Duryea,PA 18642 US,Diocese of Scranton,http://www.nativityduryea.org/,,,,,,,,,N,1
Sacred Heart of Jesus Parish-Closed,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55279,529 Stephenson St,Duryea,PA 18642 US,Diocese of Scranton,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55279,,,,,,,,,N,N
St. Jude Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55334,422 S Mountain Blvd,Mountain Top,PA 18707 US,Diocese of Scranton,http://www.stjc.org,,,,,,,,,N,N
SS Peter & Paul Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=55326,13 Hudson Rd,Plains Township,PA 18705 US,Diocese of Scranton,http://sspeterandpaulplains.com/,,,,,,,,,N,N
St. Joseph - St.Mark,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189742,1125 Romine Ave,Port Vue,PA 15133 US,None,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=189742,,,,,,,,,N,N
St. Joseph Regional School,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=75458,1125 Romine Avenue,Port Vue,PA 15133 US,Diocese of Pittsburgh,http://www.stjoesregional.com,,,,,,,,,N,N
Holy Child Parish,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=54263,212 Station St,Bridgeville,PA 15017 US,Diocese of Pittsburgh,http://www.holychildparish.org,,,,,,,,,N,N
Knights of Columbus District 105,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=213686,228 Portman Lane,Bridgeville,PA 15017 US,Diocese of Pittsburgh,http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=213686,,,,,,,,,N,N
